var			desc
oth16		OTHER PROTESTANT DENOMINATIONS
jew16		WHAT SORT OF JEW R WAS AT AGE 16
fund16		HOW FUNDAMENTALIST WAS R AT AGE 16
spden		SPECIFIC DENOMINATION, SPOUSE
spother		OTHER PROTESTANT DENOMINATIONS
spjew		WHAT SORT OF JEW IS RS SPOUSE CURRENTLY
spfund		HOW FUNDAMENTALIST IS SPOUSE CURRENTLY
prayer		BIBLE PRAYER IN PUBLIC SCHOOLS
bible		FEELINGS ABOUT THE BIBLE
racopen		VOTE ON OPEN HOUSING LAW
raclive		ANY OPP. RACE IN NEIGHBORHOOD
rachome		OPP. RACE HOME FOR DINNER RECENTLY
affrmact	FAVOR PREFERENCE IN HIRING BLACKS
wrkwayup	BLACKS OVERCOME PREJUDICE WITHOUT FAVORS
closeblk	HOW CLOSE FEEL TO BLACKS
closewht	HOW CLOSE FEEL TO WHITES
happy		GENERAL HAPPINESS
hapmar		HAPPINESS OF MARRIAGE
health		CONDITION OF HEALTH
life		IS LIFE EXCITING OR DULL
helpful		PEOPLE HELPFUL OR LOOKING OUT FOR SELVES
fair		PEOPLE FAIR OR TRY TO TAKE ADVANTAGE
trust		CAN PEOPLE BE TRUSTED
confinan	CONFID IN BANKS & FINANCIAL INSTITUTIONS
conbus		CONFIDENCE IN MAJOR COMPANIES
conclerg	CONFIDENCE IN ORGANIZED RELIGION
coneduc		CONFIDENCE IN EDUCATION
confed		CONFID. IN EXEC BRANCH OF FED GOVT
conlabor	CONFIDENCE IN ORGANIZED LABOR
conpress	CONFIDENCE IN PRESS
conmedic	CONFIDENCE IN MEDICINE
contv		CONFIDENCE IN TELEVISION
conjudge	CONFID. IN UNITED STATES SUPREME COURT
consci		CONFIDENCE IN SCIENTIFIC COMMUNITY
conlegis	CONFIDENCE IN CONGRESS
conarmy		CONFIDENCE IN MILITARY
obey		TO OBEY
popular		TO BE WELL LIKED OR POPULAR
thnkself	TO THINK FOR ONES SELF
workhard	TO WORK HARD
helpoth		TO HELP OTHERS
socrel		SPEND EVENING WITH RELATIVES
socommun	SPEND EVENING WITH NEIGHBOR
socfrend	SPEND EVENING WITH FRIENDS
socbar		SPEND EVENING AT BAR
aged		SHOULD AGED LIVE WITH THEIR CHILDREN
weekswrk	WEEKS R. WORKED LAST YEAR
partfull	WAS R'S WORK PART-TIME OR FULL-TIME?
anomia7		OFFICIALS NOT INTERESTED IN AVERAGE MAN
joblose		IS R LIKELY TO LOSE JOB
jobfind		COULD R FIND EQUALLY GOOD JOB
satjob		JOB OR HOUSEWORK
richwork	IF RICH, CONTINUE OR STOP WORKING
jobinc		HIGH INCOME
jobsec		NO DANGER OF BEING FIRED
jobhour		SHORT WORKING HOURS
jobpromo	CHANCES FOR ADVANCEMENT
jobmeans	WORK IMPORTANT AND FEEL ACCOMPLISHMENT
class		SUBJECTIVE CLASS IDENTIFICATION
rank		RS SELF RANKING OF SOCIAL POSITION
satfin		SATISFACTION WITH FINANCIAL SITUATION
finalter	CHANGE IN FINANCIAL SITUATION
finrela		OPINION OF FAMILY INCOME
wksub		DOES R OR SPOUSE HAVE SUPERVISOR
wksubs		DOES SUPERVISOR HAVE SUPERVISOR
wksup		DOES R OR SPOUSE SUPERVISE ANYONE
wksups		DOES SUBORDINATE SUPERVISE ANYONE
unemp		EVER UNEMPLOYED IN LAST TEN YRS
union		DOES R OR SPOUSE BELONG TO UNION
getahead	OPINION OF HOW PEOPLE GET AHEAD
parsol		RS LIVING STANDARD COMPARED TO PARENTS
kidssol		RS KIDS LIVING STANDARD COMPARED TO R
fepol		WOMEN NOT SUITED FOR POLITICS
abdefect	STRONG CHANCE OF SERIOUS DEFECT
abnomore	MARRIED--WANTS NO MORE CHILDREN
abhlth		WOMANS HEALTH SERIOUSLY ENDANGERED
abpoor		LOW INCOME--CANT AFFORD MORE CHILDREN
abrape		PREGNANT AS RESULT OF RAPE
absingle	NOT MARRIED
abany		ABORTION IF WOMAN WANTS FOR ANY REASON
chldidel	IDEAL NUMBER OF CHILDREN
pillok		BIRTH CONTROL TO TEENAGERS 14-16
sexeduc		SEX EDUCATION IN PUBLIC SCHOOLS
divlaw		DIVORCE LAWS
premarsx	SEX BEFORE MARRIAGE
teensex		SEX BEFORE MARRIAGE -- TEENS 14-16
xmarsex		SEX WITH PERSON OTHER THAN SPOUSE
homosex		HOMOSEXUAL SEX RELATIONS
pornlaw		FEELINGS ABOUT PORNOGRAPHY LAWS
xmovie		SEEN X-RATED MOVIE IN LAST YEAR
spanking	FAVOR SPANKING TO DISCIPLINE CHILD
letdie1		ALLOW INCURABLE PATIENTS TO DIE
suicide1	SUICIDE IF INCURABLE DISEASE
suicide2	SUICIDE IF BANKRUPT
suicide3	SUICIDE IF DISHONORED FAMILY
suicide4	SUICIDE IF TIRED OF LIVING
polhitok	EVER APPROVE OF POLICE STRIKING CITIZEN
polabuse	CITIZEN SAID VULGAR OR OBSCENE THINGS
polmurdr	CITIZEN QUESTIONED AS MURDER SUSPECT
polescap	CITIZEN ATTEMPTING TO ESCAPE CUSTODY
polattak	CITIZEN ATTACKING POLICEMAN WITH FISTS
fear		AFRAID TO WALK AT NIGHT IN NEIGHBORHOOD
owngun		HAVE GUN IN HOME
pistol		PISTOL OR REVOLVER IN HOME
shotgun		SHOTGUN IN HOME
rifle		RIFLE IN HOME
rowngun		DOES GUN BELONG TO R
hunt		DOES R OR SPOUSE HUNT
news		HOW OFTEN DOES R READ NEWSPAPER
tvhours		HOURS PER DAY WATCHING TV
phone		DOES R HAVE TELEPHONE
coop		RS ATTITUDE TOWARD INTERVIEW
comprend	RS UNDERSTANDING OF QUESTIONS
form		FORM OF SPLIT QUESTIONNAIRE ASKED
fechld		MOTHER WORKING DOESNT HURT CHILDREN
fepresch	PRESCHOOL KIDS SUFFER IF MOTHER WORKS
fefam		BETTER FOR MAN TO WORK, WOMAN TEND HOME
racdif1		DIFFERENCES DUE TO DISCRIMINATION
racdif2		DIFFERENCES DUE TO INBORN DISABILITY
racdif3		DIFFERENCES DUE TO LACK OF EDUCATION
racdif4		DIFFERENCES DUE TO LACK OF WILL
draft		RETURN TO THE DRAFT?
helppoor	SHOULD GOVT IMPROVE STANDARD OF LIVING?
helpnot		SHOULD GOVT DO MORE OR LESS?
helpsick	SHOULD GOVT HELP PAY FOR MEDICAL CARE?
helpblk		SHOULD GOVT AID BLACKS?
god			RS CONFIDENCE IN THE EXISTENCE OF GOD
reborn		HAS R EVER HAD A 'BORN AGAIN' EXPERIENCE
savesoul	TRIED TO CONVINCE OTHERS TO ACCEPT JESUS
punsin		R AGREES THAT SINNERS MUST BE PUNISHED
blkwhite	R AGREES RIGHT & WRONG NOT BLACK & WHITE
rotapple	R AGREES IMMORAL PERSON CORRUPTS SOCIETY
permoral	R AGREES THAT MORALITY A PERSONAL MATTER
wlthwhts	RICH - POOR
wlthblks	RICH - POOR
workwhts	HARD WORKING - LAZY
workblks	HARD WORKING - LAZY
intlwhts	UNINTELLIGENT -INTELLIGENT
intlblks	UNINTELLIGENT - INTELLIGENT
liveblks	NEIGHBORHOOD HALF BLACK
livewhts	R FAVOR LIVING IN HALF WHITE NEIGHBORHOOD
marblk		CLOSE RELATIVE MARRY BLACK
marasian	CLOSE RELATIVE MARRY ASIAN
marhisp		CLOSE RELATIVE MARRY HISPANIC
marwht		R FAVOR CLOSE RELATIVE MARRYING WHITE PERSON
racwork		RACIAL MAKEUP OF WORKPLACE
discaff		WHITES HURT BY AFF. ACTION
trtasian	NUMBER OF ASIAN R TRUST
trtattnd	PROPORTION OF REGULAR CHURCH ATTENDEE R TRUST
trtblack	NUMBER OF BLACK R TRUST
trtbrnda	NUMBER OF  BRENDA R TRUST
trtchild	NUMBER OF CHILD CARE WORKER R TRUST
trtcohab	NUMBER OF COHABITING PPL R TRUST
trtcon		NUMBER OF STRONG CONSERVATIVE  R TRUST
trtcops		NUMBER OF POLICE OFFICER R TRUST
trtdems		PROPORTION OF DEMOCRAT R TRUST
trtelecs	NUMBER OF ELECTRICIAN R TRUST
trtgay		NUMBER OF GAY R TRUST
trtgoatt	NUMBER OF CHURCH ATTENDEE  R TRUST
trthisp		NUMBER OF HISPANIC R TRUST
trthome		NUMBER OF PPL OWNING SECOND HOME  R TRUST
trtjans		NUMBER OF JANITOR R TRUST
trtjose		NUMBER OF  JOSE R TRUST
trtkaren	NUMBER OF KAREN R TRUST
trtkeith	NUMBER OF  KEITH R TRUST
trtkevin	NUMBER OF KEVIN R TRUST
trtlaws		NUMBER OF LAWYER R TRUST
trtlib		NUMBER OF STRONG LIBERAL  R TRUST
trtlinda	NUMBER OF  LINDA R TRUST
trtmaria	NUMBER OF  MARIA R TRUST
trtmark		NUMBER OF  MARK R TRUST
trtmils		NUMBER OF PPL IN MILITARY SERVICE R TRUST
trtmyrac	PROPORTION OF SAME RACE AS R AMONG PPL R TRUST
trtnoatt	NUMBER OF NON CHURCH ATTENDEE  R TRUST
trtprisn	NUMBER OF PPL IN PRISON  R TRUST
trtrachl	NUMBER OF  RACHEL R TRUST
trtreps		PROPORTION OF REPUBLICAN R TRUST
trtshawn	NUMBER OF SHAWN R TRUST
trtsocs		NUMBER OF SOCIAL WORKER R TRUST
trtunemp	NUMBER OF PPL UNEMPLOYED R TRUST
trtwhite	NUMBER OF WHITE R TRUST
fejobaff	FOR OR AGAINST PREFERENTIAL HIRING OF WOMEN
discaffm	A MAN WON'T GET A JOB OR PROMOTION
discaffw	A WOMAN WON'T GET A JOB OR PROMOTION
fehire		SHOULD HIRE AND PROMOTE WOMEN
probfix1	FIRST MENTION OF PROBLEM
probfix2	SECOND MENTION OF PROBLEM
probfix3	THIRD MENTION OF PROBLEM
probhlp1	FIRST MENTION TO HELP PROBLEM
probhlp2	SECOND MENTION TO HELP PROBLEM
probhlp3	THIRD MENTION TO HELP PROBLEM
vigversn	VIGNETTE VERSION NUMBER
seriousp	How serious X s situation is
charactr	How likely X s stuation caused by Bad Character
imbalnce	How likely X s stuation caused by Imbalance in Brain
wayraise	How likely X s stuation caused by the Way Raised
stresses	How likely X s stuation caused by Stress
genetics	How likely X s stuation caused by Genetic Problem
godswill	How likely X s stuation caused by God s Will
upsdowns	How likely X is experiencing Normal Ups-and-Downs of Life
breakdwn	How likely X is experiencing Nervous Breakdown
mentlill	How likely X is experiencing Mental Illness
physill		How likely X is experiencing Physical Illness
dectreat	How Able Is X to Decide Receive Treatment
decmoney	How Able Is X to Decide Managing Own Money
imprvown	How Likely X s Situation will improve on its own
imprvtrt	How Likely X s Situation will improve with treatment
vignei		How Willing R Would Have X as a Neighbor
vigsoc		How Willing R Would Spend Time Socializing with X
vigfrnd		How Willing R Would Make Friends with X
vigwork		How Willing R Would Work Closely with X on a Job
viggrp		How Willing R Would Have a Group Home for X
vigmar		How Willing R Would have X Marry in Rs Family
hurtoth		How Likely X Violent toward Other People
hurtself	How Likely X Violent toward Oneself
tlkfam		X Should Talk to Family and Friends
tlkclrgy	X Should Talk to Religious Leader
meddoc		X Should Go to General Medical Doctor for Help
mentldoc	X Should Go to Phychiatrist for Help
mentloth	X Should Go to Other Mental Health Professional for Help
sphealer	X Should Go to Spiritual Healer for Help
selfhelp	X Should Join a Self-Group with Similar Problem
otcmed		X Should Take Non-Prescription Medication
rxmed		X Should Take Prescription Medication
mentlhos	X Should Check into a Mental Hospital
ortlkfm		IN WHAT ORDER TALK THINGS OVER WITH FAMILY & FRIENDS
ortlkclr	IN WHAT ORDER TALK TO A MINISTER, PRIEST, RABBI ETC
ormeddoc	IN WHAT ORDER GO TO A GENERAL MEDICAL DOCTOR
ormntldc	IN WHAT ORDER GO TO A PSYCHIATRIST FOR HELP
ormntlot	IN WHAT ORDER GO TO A THERAPIST, OR COUNSELOR
orhealer	IN WHAT ORDER GO TO A SPIRITUAL OR A NATURAL HEALER
orslfhlp	IN WHAT ORDER JOIN A SELF-HELP GROUP
orotcmed	IN WHAT ORDER TAKE NON-PRESCRIPTION MEDICATION
orrxmed		IN WHAT ORDER TAKE PRESCRIPTION MEDICATION
ormntlhs	IN WHAT ORDER CHECK INTO A MENTAL HOSPITAL
mustdoc		X Should be Forced to be Examined at a Clinic by Law
mustmed		X Should be Forced to Take Prescribed Medication by Law
musthosp	X should be Admitted to be Hospitalized for Treatment by Law
dangrslf	X should be Admitted to be Hospitalized for Treatment if Dangerous to X
dangroth	X should be Admitted to be Hospitalized for Treatment if Dangerous to Others
medcare1	Who R Thinks Should be Most Responsible for Cost of Xs Medical Care
medcare2	Who R Thinks Should be Next Most Responsible for Cost of Xs Medical Care
spmentl		GOVT SPENDING ON HEALTH
govmentl	SHOULD GOVT PROVIDE HEALTH CARE FOR MENTAL ILLNESS
rellife		TRY TO CARRY BELIEFS INTO OTHER DEALINGS
relpersn	R CONSIDER SELF A RELIGIOUS PERSON
sprtprsn	R CONSIDER SELF A SPIRITUAL PERSON
relexp		HAVE RELIGIOUS EXPERIENCE CHANGED LIFE
psycmed1	PSYCHIATRIC MEDICINE IS HARMFUL TO THE BODY
psycmed3	TAKING THESE MEDICINE INTERFERES W DAILY ACT
psycmed4	HELPS PEOPLE DEAL W DAY TO DAY STRESSES
psycmed5	MAKES THINGS EASIER IN RELATIONS
psycmed6	THESE MEDICATIONS HELP CONTROL SYMPTOMS
psycmed7	HELPS PEOPLE FEEL BETTER ABOUT THEMSELVES
usepsyc1	WILL TAKE MEDICINE BECAUSE PERSONAL TROUBLE
usepsyc2	WILL TAKE MEDICINE BECAUSE CANT COPE W STRESS
usepsyc3	WILL TAKE MEDICINE BECAUSE FEELING DEPRESSED
usepsyc4	WILL TAKE MEDICINE BECAUSE INTENSE FEAR
doc15		DOCTOR NOT REALLY CARE ME AS A PERSON
doc16		DOCTORS JUDGEMENT TRUSTED
doc18		DOCTOR PUT MEDICAL NEEDS ABOVE ALL OTHER
doc19		DOCTOR A REAL EXPERT IN TAKING CARE PROBLEM
doc20		DOCTOR TELL ME IF A MISTAKE WAS MADE
prozac		HAVE YOU EVER HEARD OF PROZAC
usedproz	HAVE YOU EVER TAKEN PROZAC
knwnproz	HAVE YOU KNOWN ANYONE WHO TOOK PROZAC
prozfor1	WHAT CAN YOU TELL ME ABOUT PROZAC IS USED FOR
prozfor2	WHAT CAN YOU TELL ME ABOUT PROZAC IS USED FOR
prozfor3	WHAT CAN YOU TELL ME ABOUT PROZAC IS USED FOR
proz1		PROZAC IS HARMFUL TO THE BODY
proz3		TAKING PROZAC INTERFERES WITH DAILY ACTIVITIES
proz4		TAKING PROZAC HELPS PEOPLE DEAL WITH STRESS
proz5		TAKING PROZAC MAKES RELATIONS EASIER
proz6		PROZAC HELPS PEOPLE CONTROL THEIR SYMPTOMS
proz7		PROZAC MAKES PEOPLE FEEL BETTER ABOUT THEMSELVES
proz8		PROZAC SHOULD BE TAKEN TO ENHANCE PERSONALITIES
proz9		PROZAC IS FOR THOSE DIAGNOSED WITH PRESSION
prozslf1	TAKE PROZAC IF TROUBLE IN PERSONAL LIFE
prozslf2	TAKE PROZAC IF CANT COPE WITH STRESSES
prozslf3	TAKE PROZAC IF FEEL DEPRESSED SLEEPLESS
prozslf4	TAKE PROZAC IF INTENSE FEAR LOSING CONTROL
othlang		CAN R SPEAK LANGUAGE OTHER THAN ENGLISH
othlang1	WHAT OTHER LANGUAGES DOES R SPEAK
othlang2	WHAT OTHER LANGUAGES DOES R SPEAK
spklang		HOW WELL DOES R SPEAK OTHER LANGUAGE
getlang		WHERE DID R LEARN OTHER LANGUAGE
othhome		R SPEAKS OTHER LANGUAGE AT HOME
betrlang	Which language R speaks more fluent
spklangw	How well R speaks the language in BETRLANG
wwwhr		WWW HOURS PER WEEK
wwwmin		WWW MINUTES PER WEEK
wrktype		WORK ARRANGEMENT AT MAIN JOB
yearsjob	TIME AT CURRENT JOB
waypaid		HOW PAID IN MAIN JOB
wrksched	USUAL WORK SCHEDULE
moredays	DAYS PER MONTH R WORK EXTRA HOURS
mustwork	MANDATORY TO WORK EXTRA HOURS
chngtme		HOW OFTEN R ALLOWED CHANGE SCHEDULE
wrkhome		HOW OFTEN R WORK AT HOME
whywkhme	USUAL REASON R WORK AT HOME
famwkoff	HOW HARD TO TAKE TIME OFF
wkvsfam		HOW OFTEN JOB INTERFERE FAM LIFE
famvswk		HOW OFTEN FAM LIFE INTERFERE JOB
hrsrelax	HOURS PER DAY R HAVE TO RELAX
secondwk	R HAS JOB OTHER THAN MAIN
learnnew	JOB REQUIRES R TO LEARN NEW THINGS
workfast	JOB REQUIRES R TO WORK FAST
workdiff	R DOES NUMEROUS THINGS ON JOB
lotofsay	R HAS LOT OF SAY IN JOB
wktopsat	SATISFACTION COMES FROM WORK
overwork	R HAS TOO MUCH WORK TO DO WELL
knowwhat	R KNOW WHAT'S EXPECTED ON JOB
myskills	JOB ALLOWS R USE OF SKILLS
respect		R TREATED WITH RESPECT AT WORK
trustman	R TRUST MANAGEMENT AT WORK
safetywk	WORKER SAFETY PRIORITY AT WORK
safefrst	NO SHORTCUTS ON WORKER SAFETY
teamsafe	MGT AND EMPLOYEES WORK TOGETHER RE SAFETY
safehlth	SAFETY AND HEALTH CONDITION GOOD AT WORK
proudemp	R PROUD TO WORK FOR EMPLOYER
prodctiv	WORK CONDITIONS ALLOW PRODUCTIVITY
wksmooth	WORKPLACE RUNS IN SMOOTH MANNER
trdunion	WORKERS NEED STRONG UNIONS
partteam	R WORK AS PART OF A TEAM
wkdecide	HOW OFTEN R TAKE PART IN DECISIONS
setthngs	HOW OFTEN R SET WAY THINGS DONE
toofewwk	HOW OFTEN NOT ENOUGH STAFF
promteok	RS CHANCES FOR PROMOTION GOOD
opdevel		OPPORTUNITY TO DEVELOP MY ABILITIES
hlpequip	ENOUGH HELP AND EQUIP TO GE THE JOB DONE
haveinfo	ENOUGH INFO TO GET THE JOB DONE
wkfreedm	A LOT OF FREEDOM TO DECIDE HOW TO DO JOB
fringeok	FRINGE BENEFITS ARE GOOD
supcares	SUPERVISOR CONCERNED ABOUT WELFARE
condemnd	R FREE FROM CONFLICTING DEMANDS
promtefr	PROMOTIONS ARE HANDLED FAIRLY
cowrkint	COWORKERS TAKE A PERSONAL INTEREST IN R
jobsecok	THE JOB SECURITY IS GOOD
suphelp		SUPERVISOR HELPFUL TO R IN GETTING JOB DONE
wrktime		R HAS ENOUGH TIME TO GET THE JOB DONE
cowrkhlp	COWORKERS CAN BE RELIED ON WHEN R NEEDS HELP
trainops	R HAVE THE TRAINING OPPORTUNITIES
manvsemp	RELATIONS BW MANAGEMENT AND EMPLOYEES
hvylift		R DO REPEATED LIFTING
handmove	R PERFORM FORCEFUL HAND MOVEMENTS
wkpraise	R ARE LIKELY TO BE PRAISED BY SUPERVISOR
wkbonus		R ARE LIKELY TO GET A BONUS OR PAY INCREASE
fairearn	HOW FAIR IS WHAT R EARN ON THE JOB
rincblls	INCOME ALONE IS ENOUGH
laidoff		R WERE LAID OFF MAIN JOB LAST YEAR
jobfind1	HOW EASY FOR R TO FIND A SAME JOB
trynewjb	HOW LIKELY R MAKE EFFORT FOR NEW JOB NEXT YEAR
wkageism	R FEEL DISCRIMINATED BECAUSE OF AGE
wkracism	R FEEL DISCRIMINATED BECAUSE OF RACE
wksexism	R FEEL DISCRIMINATED BECAUSE OF GENDER
wkharsex	R SEXUALLY HARASSED ON THE JOB LAST 12 MONTHS
wkharoth	R THREATENED ON THE JOB LAST 12 MONTHS
health1		RS HEALTH IN GENERAL
physhlth	DAYS OF POOR PHYSICAL HEALTH PAST 30 DAYS
mntlhlth	DAYS OF POOR MENTAL HEALTH PAST 30 DAYS
hlthdays	DAYS OF ACTIVITY LIMITATION PAST 30 DAYS
usedup		HOW OFTEN DURING PAST MONTH R FELT USED UP
backpain	R HAD BACK PAIN IN THE PAST 12 MONTHS
painarms	R HAD PAIN IN THE ARMS IN THE PAST 12 MONTHS
hurtatwk	NUMBER OF INJURIES ON THE JOB PAST 12 MONTHS
satjob1		JOB SATISFACTION IN GENERAL
workfor		R WORK FOR WHOM
ownstock	R HAS STOCK IN RS COMPANY
stockval	TOTAL DOLLAR VALUE OF RS STOCK
stockops	R HOLD ANY STOCK OPTIONS OF RS COMPANY
extrapay	ELIGIBLE FOR PERFORMANCE BASED PAY
compperf	SIZE OF PERF BASED PAY DEPEND ON PROFITS
deptperf	SIZE OF PERF BASED PAY DEPEND ON WORKGROUP
indperf		SIZE OF PERF BASED PAY DEPEND ON INDIVIDUAL
extraval	TOTAL DOLLAR VALUE OF PAY IN 2001
extrayr		YEAR OF THE MOST RECENT PERF BASED PAYMENTS
